component,explained_variance_ratio,cumulative_explained_variance
PC147,5.6056594607925844e-05,0.9900260447407311
PC148,5.5654791581168905e-05,0.9900816995323123
PC149,5.528520388803549e-05,0.9901369847362004
PC150,5.4352036502263225e-05,0.9901913367727027
PC151,5.413963358630133e-05,0.9902454764062889
PC152,5.3531284159989524e-05,0.9902990076904489
PC153,5.287911651657256e-05,0.9903518868069654
PC154,5.210200979324741e-05,0.9904039888167586
PC155,5.1130618104520875e-05,0.9904551194348631
PC156,5.0671170318294424e-05,0.9905057906051814
PC157,5.0400025702064905e-05,0.9905561906308835
PC158,4.922695744716383e-05,0.9906054175883307
PC159,4.874502933261839e-05,0.9906541626176633
PC160,4.84648812256706e-05,0.9907026274988889
PC161,4.8269382170721415e-05,0.9907508968810597
PC162,4.8167996384845096e-05,0.9907990648774445
PC163,4.792697022179944e-05,0.9908469918476663
PC164,4.75299237619562e-05,0.9908945217714283
PC165,4.740908283184943e-05,0.9909419308542602
PC166,4.709533492420095e-05,0.9909890261891844
PC167,4.6893404060951534e-05,0.9910359195932453
PC168,4.677403112429661e-05,0.9910826936243696
PC169,4.654137321805888e-05,0.9911292349975876
PC170,4.5896807599579485e-05,0.9911751318051872
PC171,4.582021590202955e-05,0.9912209520210893
PC172,4.529336371655022e-05,0.9912662453848058
PC173,4.4922086672162483e-05,0.991311167471478
PC174,4.414243862405593e-05,0.991355309910102
PC175,4.4057435427007407e-05,0.991399367345529
PC176,4.3684454144858307e-05,0.9914430517996738
PC177,4.3592102049720717e-05,0.9914866439017236
PC178,4.338852637838683e-05,0.991530032428102
PC179,4.312225472903815e-05,0.991573154682831
PC180,4.20733843434522e-05,0.9916152280671745
PC181,4.1634715890819994e-05,0.9916568627830653
PC182,4.1216997375185215e-05,0.9916980797804404
PC183,4.052585376859404e-05,0.991738605634209
PC184,4.0414352338533556e-05,0.9917790199865475
PC185,3.987489289047358e-05,0.991818894879438
PC186,3.942723774223536e-05,0.9918583221171802
PC187,3.896592978381055e-05,0.991897288046964
PC188,3.846645297066026e-05,0.9919357544999347
PC189,3.773441052626336e-05,0.9919734889104609
PC190,3.718606252517519e-05,0.9920106749729861
PC191,3.640866841470126e-05,0.9920470836414008
PC192,3.6350024241398246e-05,0.9920834336656422
PC193,3.6189761995972114e-05,0.9921196234276382
PC194,3.610985885871002e-05,0.9921557332864969
PC195,3.582744237811663e-05,0.9921915607288749
PC196,3.5653309900763247e-05,0.9922272140387757
PC197,3.5563862413389825e-05,0.9922627779011891
