model,target,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,train_r2_mean,fit_seconds,n_rows,n_features_before_encoding,n_numeric_features,n_categorical_features
decision_stump,log_owners_midpoint,0.39891798437778125,0.04576778051421633,0.50777551308913,0.027044022080848242,0.6111535481256997,0.036656461134666515,0.44753615651810447,0.363933900007396,841,104,100,4
knn_5,log_owners_midpoint,0.36661640477441304,0.035422475581732636,0.5003438053137585,0.043019952546073346,0.6300798219970056,0.06797740475536121,0.9999999999999968,0.8048841999989236,841,104,100,4
knn_15,log_owners_midpoint,0.3588861936135127,0.04772036900738275,0.5016632160360974,0.0356458708791455,0.6329346038937115,0.06238488660535486,0.9999999999999707,1.2585872999916319,841,104,100,4
linear_svr,log_owners_midpoint,0.26478207874068815,0.0918825659158458,0.506858635614803,0.048993558431439356,0.6765236610320373,0.07214723950596745,0.8773392015144355,3.35146910000185,841,104,100,4
huber_robust_linear,log_owners_midpoint,0.21170655619139964,0.10906236773010335,0.518484369799867,0.04558052506809264,0.6998269423591239,0.0737584401860214,0.8860135960656981,39.85774069999752,841,104,100,4
svr_poly,log_owners_midpoint,0.08021780013118496,0.13224948149300195,0.5486676419193968,0.04946462143657552,0.7564941536391689,0.08582508862201081,0.90050122818842,2.1755072999949334,841,104,100,4
dummy_median,log_owners_midpoint,-0.01666511218554594,0.014834772214778042,0.5478890408289211,0.05824057492986696,0.7973536459889028,0.06828997585378505,-0.00376793849388628,1.6883176999981515,841,104,100,4
polynomial_degree_2_ridge,log_owners_midpoint,-0.44898024456988417,1.4393176633259677,0.535715896187432,0.1125715259879807,0.8989660988882375,0.5018547000813002,0.7933165415573823,0.9181894000066677,841,104,100,4
ols_least_squares,log_owners_midpoint,-0.5492613867390587,0.423540396353996,0.7022455495255866,0.08119169318921822,0.9752621027734701,0.1795439186328452,0.9310509729678984,2.9601573000109056,841,104,100,4
kernel_ridge_rbf,log_owners_midpoint,-14.758228625695676,1.8992174434073035,1.697229907161963,0.184305794703263,3.1345144334898043,0.34294628649714864,-3.6008013925471305,1.710116600006586,841,104,100,4
sgd_elastic_net,log_owners_midpoint,-61926.23205712288,98173.86095275679,23.933990749172317,33.075552285100365,115.73897657902448,152.09784570609045,-46638.6873600516,0.48108830000273883,841,104,100,4
